id;title;content_preview;initial_ai_sentiment;manual_verified_label;notes
12;Diaspora Kembangkan Kuliner Nusantara di Belanda dengan Dukungan BNI;Waroeng Padang Lapek menjadi contoh kolaborasi antara sektor perbankan dan pelaku usaha dapat menciptakan nilai tambah sekaligus memperkuat eksistensi produk serta budaya Indonesia di tingkat internasional.;Positif;2;
13;Harga Emas Antam Anteng di Level Rp2,725 Juta per Gram Hari Ini;Melansir Logam Mulia, harga emas beli kembali alias buyback juga masih bertahan di level Rp2,725 juta per gram, setelah sebelumnya melesat Rp80 ribu.;Netral;1;
14;BNSP lakukan penyaksian uji pertama LSP guna perkuat kompetensi 80 SDM;Badan Nasional Sertifikasi Profesi (BNSP) melakukan penyaksian uji pertama terhadap proses asesmen yang dilakukan enam ...;Netral;1;
15;Pemkot Jaksel minta jajaran tertibkan spanduk dan PKL jelang HUT RI;Pemerintah Kota Administrasi Jakarta Selatan (Pemkot Jaksel) meminta jajaran kecamatan hingga RW menerbitkan spanduk ...;Netral;1;
16;Sambut HUT RI ke 81 TNI Polri Bersihkan Sampah di Kanal Banjir Barat;Ratusan personel gabungan TNI/ POLRI dan petugas penanganan prasarana dan sarana umum (PPSU) mengangkat sampah liar di Kanal Banjir Barat kawasan RPTRA Kalijodoh Jakarta, Sabtu , 15 Agustus 2026. (KLY/ Arie Basuki).;Negatif;0;
17;Kapolri Ungkap Ancaman Serius yang Mengintai Anak Muda di Dunia Maya;Kapolri Jenderal Listyo Sigit Prabowo saat penutupan E-Sport Kapolri Cup 2026 di Indonesia Arena, Kecamatan Tanah Abang, Jakarta Pusat, Minggu (9/8/2026). (Liputan6/Rifqy Alief);Negatif;0;
18;Tingkatkan Kualitas Satuan Pendidikan, UIN Jakarta: dari Triguna hingga TKIP-SDIP Pamulang;UIN Jakarta terus memperkuat kualitas satuan pendidikan. Mulai aspek akademik dan fasilitas pendidikan, kesejahteraan guru serta tenaga kependidikan.;Positif;2;
19;Kemenhan gelar Ziarah Nasional Veteran di TMP Kalibata;Kementerian Pertahanan menggelar agenda Ziarah Nasional Veteran di Taman Makam Pahlawan (TMP) Kalibata, Jakarta, ...;Netral;1;
20;Investasi RI Tembus Rp 1.010 T, Pengusaha Ungkap Dampaknya ke Industri Lokal;Investasi Indonesia mencapai Rp 1.010 triliun pada semester I-2026, tumbuh 7,2%. HIPMI dorong penguatan industri lokal dan akses pembiayaan untuk pengusaha.;Positif;2;
21;Tiga Korban Gempa NTT di Sikka Ditemukan, Satu Meninggal;Kantor SAR Maumere mencatat tiga korban, yakni satu meninggal dunia dan dua lainnya mengalami luka-luka (Istimewa);Negatif;0;
22;Gempa M 7 di Nagekeo NTT Terasa hingga NTB, Picu Peringatan Dini Tsunami;Gempa bumi berkekuatan magnitudo 7 yang mengguncang wilayah Nusa Tenggara Timur (NTT) pada Sabtu 15 Agustus terasa hingga Pulau Lombok di Nusa Tenggara Barat (NTB);Negatif;0;
23;MyPertamina Pasar Rakyat Rayakan HUT RI ke-81, Ada Tebus Murah Sembako hingga Bazaar UMKM;Selama dua hari penyelenggaraan, pengunjung akan disuguhkan berbagai aktivitas seru, mulai dari zumba dan pilates, lomba bertema Kemerdekaan hingga bazaar UMKM.;Netral;1;
24;Pernyataan Berkelas Ole Romeny Usai Siksa Juara Liga Belanda PSV Eindhoven;Striker Timnas Indonesia, Ole Romeny, langsung menunjukkan ketajamannya pada pertandingan perdana bersama Fortuna Sittard di Eredivisie 2026/2027. Romeny mencetak satu g;Positif;2;
25;Dukung Gaya Hidup Penghuni dengan Hadirkan Fasilitas Terpadu;Kawasan seluas 2.000 hektare yang berjarak 500 meter dari Stasiun KRL Maja ini mengusung konsep kota terpadu.;Positif;2;
26;Komika Pandji Pragiwaksono Dipolisikan Buntut Gaduh 'Mens Rea';Komika Pandji Pragiwaksono Dipolisikan Buntut Gaduh 'Mens Rea';Netral;1;
27;Tembok Pembatas SD di Sleman Roboh Timpa Peserta Jalan Sehat, 10 Luka;Sepuluh peserta jalan sehat di Sleman, DIY mengalami luka-luka hingga dilarikan ke rumah sakit usai tertimpa tembok pembatas milik SDN Minomartani 2, Ngaglik.;Negatif;0;
28;Rupiah Menguat ke Rp17.729 per Dolar AS Jelang Akhir Pekan;Nilai tukar rupiah menguat menjadi Rp17.729 per dolar AS. Analis memprediksi konsolidasi menjelang rilis data neraca transaksi berjalan Indonesia.;Netral;1;
29;Walkot Bogor Harap ASN yang Hanyut di Sungai Cisadane Segera Ditemukan;Wali Kota Bogor, Dedie Rachim, prihatin atas hilangnya ASN Bayu Zulkarnain di Sungai Cisadane. Pencarian terus dilakukan oleh petugas SAR.;Netral;1;
30;Tak Butuh Lahan Luas, Ide Bisnis Ternak Puyuh Petelur Ini Bisa Jadi Sumber Cuan;Ide bisnis ternak puyuh petelur bisa dimulai dari skala kecil. Simak cara memilih bibit, menyiapkan kandang, memberi pakan, hingga menjual telur. Baca di sini;Netral;1;
31;Sakit Hati Disebut Kampungan, Siswa di Kupang Tikam Guru Saat Tidur;Arifin menjelaskan A baru sekitar dua tahun menetap di Kota Kupang. Setelah menyelesaikan pendidikan SMP di Kabupaten Alor, A meneruskan sekolah di SMK Pelayaran Lasiana;Netral;1;
32;Turnamen Padel Nasional Digelar, Wihaji Dorong Kegiatan Organisasi Lebih Adaptif;Wihaji menilai kegiatan olahraga seperti turnamen padel dapat menjadi salah satu bentuk transformasi agar organisasi tetap dekat dengan masyarakat.;Netral;1;
33;Babak Baru Kasus Sutrimo: Ekshumasi Jenazah hingga Sosok Febrio Adiono;Kematian Sutrimo yang disebut-sebut sebagai Kepala Rumah Tangga (Karumga) Febrie Adriansyah, kini memasuki babak baru.;Netral;1;
34;Menantu Trump Jared Kushner Lobi Israel untuk Rencana Perdamaian Gaza;Utusan Donald Trump, Jared Kushner, akan mengunjungi Israel dan Mesir untuk menjembatani perbedaan terkait rencana perdamaian dan gencatan senjata Gaza.;Netral;1;
35;Ajakan Hubungan Intim di Balik Kasus Mutilasi Depok;Tersangka kasus mutilasi di Depok, Saepullah alias SA (Liputan6.com/Ady Anugrahadi);Negatif;0;
36;"Trump Klaim Bakal Kuasai Selat Hormuz, Iran Reaksi Keras: ""Akan Tetap Milik Iran!""";Iran tegaskan Selat Hormuz tetap milik mereka usai Donald Trump mengklaim akan menjadikan jalur pelayaran vital tersebut sebagai wilayah AS.;Netral;1;
37;BBMKG: Waspada potensi rob di enam pesisir Bali pada 11=17 Agustus;Balai Besar Meteorologi Klimatologi dan Geofisika (BBMKG) Wilayah III Denpasar meminta masyarakat mewaspadai potensi ...;Negatif;0;
38;Ilmuwan Prediksi Bumi Makin Panas, El Nino 2027 Berpotensi Pecahkan Rekor Suhu;Laporan WMO memprediksi suhu global tetap tinggi hingga 2030. Fenomena El Ni&ntilde;;0;
39;Festival kuliner kayu batu, ajang promosi potensi kampung;ANTARA - Masyarakat Kampung Kayu Batu, Kota Jayapura,Papua menggelar Festival Kuliner Merah Putih sebagai bagian dari ...;Netral;1;
40;Hasil Serie A: Torino vs AC Milan, Adrian Rabiot Gemilang, Rossoneri Menang Tipis;AC Milan sukses menaklukkan Torino 2-1 dalam lanjutan Serie A. Adrien Rabiot tampil gemilang dengan satu gol dan satu assist setelah masuk sebagai pengganti.;Positif;2;
41;Harga Emas Hari Ini Naik Rp 10.000/Gram;Harga emas Antam naik Rp 10.000 per gram menjadi Rp 2.750.000. Cek rincian harga emas dari 0,5 gram hingga 1.000 gram per 24 Agustus 2026.;Netral;1;
42;Bambang Pacul Pesan LCC 4 Pilar MPR Jadi Wadah Perkuat Nilai Kebangsaan;Lomba Cerdas Cermat Empat Pilar MPR RI 2026 tingkat nasional diikuti 38 tim. Acara ini memperkuat pemahaman kebangsaan dan persatuan di kalangan generasi muda.;Netral;1;
43;Polisi Bakal Bongkar Makam Sutrimo Usai Kematian Dinilai Janggal;Penyidik dari Polda Metro Jaya bakal melakukan ekshumasi terhadap jasad Sutrimo menyusul laporan dari kerabat soal dugaan kejanggalan kematiannya.;Negatif;0;
44;Komisi Fatwa MUI: Pria Berbusana Wanita Saat Acara 17 Agustus Haram;Wakil Sekretaris Komisi Fatwa MUI Abdul Muiz Ali mengatakan ketentuan tersebut berlaku dalam perspektif syariat Islam. Menurut dia, penggunaan busana lawan jenis juga ber;Netral;1;
45;Kapolri Terima Anugerah Anggota Kehormatan di Muktamar Tapak Suci;Muktamar XVI Tapak Suci Resmi Dibuka di Semarang. Dalam gelaran ini, Kapolri Listyo Sigit Prabowo menerima Anugerah Anggota Kehormatan.;Netral;1;
46;Jusuf Kalla dukung GIHES 2026 untuk fokus pada pendidikan berkarakter;&nbsp;;2;
47;Dituding Jadi Wanita Berbaju Putih Challenge Miras, Nadhea Klarifikasi;Nadhea Devi membantah tudingan sebagai wanita berbaju putih dalam kasus miras di festival musik. Dia bantah keterlibatan dan minta netizen tidak gegabah.;Negatif;0;
48;Prabowo Tiba di JCC Senayan, Bakal Jadi Saksi Nikah Kasespri;Presiden Prabowo Subianto tiba di Jakarta Convention Center (JCC), Senayan, Jakarta, Minggu (23/8/2026) pagi. Kehadirannya dalam rangka menghadiri prosesi akad nikah Kasesprinya, Rizky Irmansyah.;Netral;1;
49;Peringatan Keras ke Pelaku Pungli Road Barrier Kota Tua;Peringatan Keras ke Pelaku Pungli Road Barrier Kota Tua;Negatif;0;
50;BSI Tuntaskan Transformasi Teknologi, Nasabah Capai Rekor Tertinggi;BSI mencatatkan rekor jumlah nasabah 24,3 juta di 2026 transformasi teknologi mendukung pertumbuhan bisnis dan layanan digital yang lebih baik.;Positif;2;
51;China Bersiap Menyerang, Taiwan Siapkan 'Neraka Drone';Taktik Taiwan ini terinspirasi dari perang di Ukraina.;Netral;1;
52;Menkum soal Wacana Pengadilan Ad Hoc BUMN: Jadi Warning Buat Semua;Menteri Hukum, Supratman Andi Agtas mengatakan, wacana pengadilan ad hoc untuk mengusut pengelolaan BUMN adalah bentuk warning atau peringatan.;Netral;1;
53;BRI Resmi Luncurkan BRImo Taiwan, Perluas Akses Layanan Keuangan bagi Diaspora Indonesia di Taiwan;BRI meluncurkan BRImo Taiwan untuk memudahkan diaspora Indonesia dan PMI mengakses layanan perbankan, transaksi harian, serta pengiriman dana ke Indonesia.;Netral;1;
54;Gerindra Jelaskan Maksud Prabowo Tanya 'Partai Koalisi Kuat' saat Retret;Gerindra Jelaskan Maksud Prabowo Tanya 'Partai Koalisi Kuat' saat Retret;Netral;1;
55;Pria di Depok Ditusuk hingga Tewas Saat Tidur, Polisi Selidiki;Pria di Depok Ditusuk hingga Tewas Saat Tidur, Polisi Selidiki;Negatif;0;
56;KPK Geledah 15 Lokasi di Empat Kota, Usut Kasus Pemerasan Bupati Pemalang;Penyidik KPK menyasar 10 rumah di Pemalang, dua rumah di Tegal, dua rumah di Pekalongan, dan satu rumah di Semarang;Netral;1;
57;Perumda Pasar Jaya Gelar Bazar Prime Ramadan di Balkot, Catat Tanggalnya;Perumda Pasar Jaya Gelar Bazar Prime Ramadan di Balkot, Catat Tanggalnya;Netral;1;
58;Hari Ini ke Transmart Full Day Sale Yuk, Intip Barang Diskon 50% + 20%;Selama gelaran Transmart Full Day Sale berlangsung, berlaku diskon belanja hingga 50% + 20% untuk pembelian aneka produk. Simak daftarnya.;Netral;1;
59;Pemkot Pekanbaru terapkan pembelajaran daring bagi peserta didik;Pemerintah Kota Pekanbaru, Provinsi Riau menerapkan pembelajaran jarak jauh (PJJ) atau daring dari rumah bagi peserta ...;Netral;1;
60;Projo Gelar HUT ke-12 di Jakarta, Budi Arie Tegaskan Dukung Prabowo;Jokowi absen dalam peringatan hari ulang tahun (HUT) ke-12 salah satu organisasi relawan utamanya, Projo.;Positif;2;
61;36 Ribu Kendaraan Melintas di Puncak Bogor, Lalin Megamendung-Cisarua Padat;Polisi mencatat 36 ribu kendaraan melintas di Jalan Raya Puncak pada long weekend. Penerapan sistem one way mengakibatkan kepadatan di beberapa titik.;Negatif;0;
62;Kebakaran Gedung Bapenda, 1 Korban Dilarikan ke RS Tarakan;Kebakaran di Gedung Bapenda DKI Jakarta menyebabkan satu korban dilarikan di RSUD Tarakan. Tidak ada korban jiwa dalam insiden ini.;Negatif;0;
63;Langgar Izin Tinggal, Pria Kelahiran Israel di Bali Dideportasi dan Dicekal;Kantor Imigrasi Ngurah Rai seorang warga negara Lithuania yang lahir di Israel berinisial BR. Ia melakukan pelanggaran izin tinggal.;Negatif;0;
64;Bupati Klaten Promosikan Potensi Daerah di Forum Indonesia - China;Bupati Hamenang menyebut, presentasi tersebut mendapat respons positif dari sejumlah delegasi pemerintah daerah China.;Positif;2;
65;Ismael Bennacer Akhiri Kontrak di AC Milan, Al Gharafa Jadi Tujuan Berikutnya;AC Milan dan Ismael Bennacer resmi mengakhiri kerja sama lebih awal. Gelandang Aljazair ini dikabarkan akan melanjutkan karier ke klub Qatar, Al Gharafa.;Netral;1;
66;Polres Sikka dan Brimob Bangun Tenda Darurat di RSU Santo Gabriel Kewapante;Di RSU Santo Gabriel Kewapante, personel Polsek Kewapante bersama Kompi 4 Batalyon B Pelopor Maumere mendirikan sejumlah tenda darurat untuk korban gempa M 7.;Negatif;0;
67;Bareskrim Polri Tetapkan 72 Tersangka Kasus Dugaan Pembakaran Hutan dan Lahan;Dirtipidter Bareskrim Polri menetapkan 72 orang sebagai tersangka kasus dugaan pembakaran hutan dan lahan di Kalimantan. 72 orang tersebut ditetapkan tersangka oleh Polda di 9 wilayah Indonesia.;Negatif;0;
68;Mendag Budi Santoso Dorong UMKM Naik Kelas lewat Penguatan Rantai Nilai Global;Mendag Budi Santoso mendorong penguatan akses pembiayaan UMKM, konektivitas, fasilitasi perdagangan, kapasitas domestik, serta kerja sama BRICS untuk membangun rantai nilai global yang tangguh dan inklusif.;Positif;2;
69;Febrie Gugat Penahanan Kejagung, Minta Dibebaskan Hakim Praperadilan;Mantan Jaksa Agung Muda, Febrie Adriansyah, ajukan praperadilan untuk batalkan penahanan dan nyatakan tidak sah surat perintah penahanan terkait kasus TPPU.;Negatif;0;
70;Bareskrim bongkar dugaan peredaran narkoba di HH Club Batam;Direktorat Tindak Pidana Narkoba Badan Reserse Kriminal Polri membongkar kasus dugaan peredaran narkoba di tempat ...;Negatif;0;
71;Tsunami Juga Terdeteksi di Baubau dan Bulukumba Usai Gempa M 7 NTT;Gelombang tsunami terdeteksi di Baubau dan Bulukumba setelah gempa M 7 di NTT. Ketinggian gelombang mencapai 0,3 meter.;Negatif;0;
72;Gara-gara Peternak Kambing Temukan Sebongkah Emas, 10.000 Orang Berbondong-bondong Berburu Harta Karun;Desa kecil di Kenya tiba-tiba dilanda 'demam emas' gara-gara seorang peternak kambing menemukan sebongkah emas. Sekitar 10.000 orang berdatangan berburu harta karun tersebut.;Netral;1;
73;Kemenpar Siapkan Lahan Poltekpar NHI Bandung untuk Percepat Pembangunan Sekolah Rakyat;REPUBLIKA.CO.ID, BANDUNG, – Kementerian Pariwisata (Kemenpar) memberikan dukungan penuh terhadap percepatan pembangunan Sekolah Rakyat dengan menyediakan sebagian lahan Kampus Politeknik Pariwisata (Poltekpar) NHI Bandung di Dayeuhkolot, Kabupaten Bandung, Jawa...;Positif;2;
74;Kalimantan Tengah Diguyur Hujan Usai Gubernur bersama Masyarakat Gelar Salat Istisqa & Doa Bersama.;Sejumlah wilayah Kalimantan Tengah diguyur hujan beberapa jam setelah Gubernur Agustiar Sabran bersama masyarakat menggelar Salat Istisqa dan doa bersama.;Netral;1;
75;Wakapolri: Jangan Cuma Jadi Penonton, Jadilah Talenta Digital;Wakapolri Komjen Pol Dedi Prasetyo mengatakan Polri ingin hadir di ruang yang dekat dengan kehidupan generasi muda.;Netral;1;
76;Istana Bantah Isu Haji Isam Pimpin Penanganan Karhutla RI;Istana membantah isu yang menyebut pengusaha asal Kalimantan, Andi Syamsuddin Arsyad alias Haji Isam menjadi koordinator penanganan Karhutla.;Netral;1;
77;KPK Sebut Aturan Kuota Tambahan 50:50 Murni Inisiatif Yaqut, Bukan Permintaan Arab Saudi;KPK memastikan Pemerintah Arab Saudi tidak pernah mencampuri urusan distribusi tambahan 20.000 kuota haji milik Indonesia.;Netral;1;
78;Polda Kaltim Tetapkan 3 Tersangka Karhutla di Kutai Kartanegara dan Berau;Saat di lokasi, lanjutnya, Tim gabungan menemukan tersangka N dan JP yang mengaku membuka atau merintis lahan dengan cara membakar.;Negatif;0;
79;Harga Emas Antam Hari Ini Tak Berubah di Rp2,69 Juta per Gram;Harga emas Antam (ANTM) pada hari ini, Senin (10/8/2026) stagnan di Rp2.690.000 per gram.;Netral;1;
80;Kota Padang Panjang Luncurkan Aplikasi Papago, Perkuat Transformasi Digital Pelayanan Publik;Pemerintah Kota Padang Panjang meluncurkan Papago untuk mengintegrasikan informasi dan layanan pemerintah dalam satu platform sekaligus memudahkan masyarakat menyampaikan aduan, aspirasi, serta mengakses berbagai informasi publik.;Netral;1;
81;Kisah Cinta Willy Dozan dan Betharia Sonata, Sempat Renggang Usai Cerai, Kini Kembali Akur Demi Anak;Kisah cinta Willy Dozan dan Betharia Sonata berawal dari pernikahan pada 1990 dan berakhir dengan perceraian pada 2002. Kini keduanya tetap kompak demi anak.;Netral;1;
82;Sukses Dukung Program 3 Juta Rumah, Pemkot Bandar Lampung Raih Penghargaan;Program 3 Juta Rumah menjadi salah satu langkah strategis dalam mendorong terpenuhinya kebutuhan tempat tinggal sekaligus meningkatkan kesejahteraan masyarakat.;Positif;2;
83;Di Balik Sesar Naik Flores Selalu Ada Ancaman Gempa dan Bangkitkan Tsunami;Tim penyelamat mencari korban di reruntuhan setelah gempa berkekuatan magnitudo 7,7 mengguncang Pulau Flores di Pelabuhan Laurensius Say di Maumere, Sikka, Nusa Tenggara Timur, Sabtu, 15 Agustus 2026. (AFP/ Arnold Welianto);Negatif;0;
84;Menkum Supratman: Putusan MK soal Penghinaan Presiden Itu Pertegas KUHP;Menteri Hukum (Menkum) Supratman Andi Agtas angkat bicara soal putusan MK mengenai delik penghinaan presiden dan wakil presiden (wapres) tidak bisa dituntut orang lain.;Netral;1;
85;Transmart Full Day Sale! Alat Kebersihan Jadi Semurah Ini;Transmart Full Day Sale kembali hadir pada Minggu (28/8/2026).;Netral;1;
86;Hasil La Liga: Getafe vs Racing Santander, Gol Enes Unai Pastikan Kemenangan Azulones;Getafe berhasil menundukkan Racing Santander dengan skor tipis 1-0 dalam lanjutan La Liga berkat gol tunggal Enes Unai di menit ke-81.;Positif;2;
87;Sebelum Sang Saka Merah Putih berkibar;Pukul 04.00 WIB, ketika sebagian besar anak seusia mereka masih terlelap, 76 calon Pasukan Pengibar Bendera Pusaka ...;Netral;1;
88;18 Hektare Lahan Perhutani di Jampangtengah Sukabumi Terbakar;LAHAN seluas 18 hektare di Desa Bojongjengkol Kecamatan Jampangtengah, Kabupaten Sukabumi, Jawa Barat, terbakar. Penyebabnya diduga ada unsur kesengajaan.;Negatif;0;
89;Purbaya: Anggaran TKD Rp44 miliar untuk NTT sudah disalurkan;Purbaya: Anggaran TKD Rp44 miliar untuk NTT sudah disalurkan;Netral;1;
90;Deret Saham Ciamik yang Bisa Dilirik Pekan Ini;IHSG masih berpeluang menguat dalam sepekan ke depan. Investor dapat mencermati beberapa saham berpeluang cuan, mulai dari perbankan hingga telco.;Netral;1;
91;Proses alih kelola transportasi Kep Seribu masih dalam tahap kajian;Kepala Dinas Pehubungan (Dishub) DKI Jakarta Budi Awaluddin mengatakan proses pengalihan pengelolaan transportasi ke ...;Netral;1;
92;Jalan Tegar Beriman-Bomang Ditargetkan Tersambung melalui Flyover pada 2027;Pemkab Bogor menargetkan pembangunan Flyover Bomang pada 2027 untuk menghubungkan Jalan Tegar Beriman dengan jalur Bojonggede-Kemang sekaligus memperkuat akses masyarakat menuju pusat pemerintahan di Cibinong.;Positif;2;
93;Sebelum Gempa M 7,7, NTT Pernah Diguncang Gempa Dahsyat pada 1992;Gempa bumi tektonik berkekuatan magnitudo 7,0 mengguncang wilayah Nusa Tenggara Timur (NTT) pada Sabtu 15 Agustus terasa hingga Pulau Lombok di Nusa Tenggara Barat (NTB);Negatif;0;
94;Iran Kecam Sanksi Ekonomi dari AS, Sebut Rusak Tatanan Global;Iran kecam sanksi ekonomi baru AS dan menilainya sebagai pelanggaran kedaulatan dan hukum internasional, serta memperingatkan dampak negatif ke tatanan global.;Negatif;0;
95;DPRD Kota Bogor Kawal Pembangunan Trase Baru Batutulis, Target Selesai Oktober 2026;DPRD Kota Bogor mengawal pembangunan trase baru Batutulis yang ditargetkan rampung pada Oktober 2026 untuk memulihkan konektivitas dan meningkatkan keselamatan pengguna jalan.;Positif;2;
96;Emoji Loud Crying Face Populer di Gen Z, Apa Maknanya?;Emoji loud crying face (😭) kini jadi favorit Gen Z, menggantikan emoji lain. Apa maknanya?;Netral;1;
97;JPO 'Love-Hate Relationship' di Rasuna Said Dibongkar;Warga melintasi tangga JPO di Jalan HR Rasuna Said, Jakarta (Liputan6.com/Helmi Fithriansyah);Netral;1;
98;Istana Respons Isu Prabowo Tunjuk Haji Isam Koordinator Atasi Karhutla;Istana menanggapi isu viral Haji Isam ditunjuk Prabowo sebagai koordinator penanganan karhutla.;Netral;1;
99;Bea-Cukai Banten Musnahkan 41,2 Juta Rokok Ilegal dan 1.739 Liter MMEA;Barang ilegal yang dimusnahkan merupakan akumulasi hasil penindakan Bea Cukai Banten bersama Bea Cukai Merak dan Bea Cukai Tangerang.;Negatif;0;
100;Tak Selalu Permanen, Uban karena Stres Ternyata Bisa Menghitam Kembali;Uban ternyata tak selalu permanen. dr. Adam Prabata mengungkap stres dapat memengaruhi warna rambut, bahkan uban bisa kembali ke warna aslinya saat stres menurun.;Netral;1;
101;PSSI Akhirnya Buka Suara Usai Timnas Indonesia Jadi Pesakitan di Piala AFF 2026;PSSI buka suara setelah Timnas Indonesia gagal melangkah ke semifinal Piala AFF 2026. Hasil imbang 1-1 melawan Singapura di Stadion Jalan Besar, Kallang, Jumat 7 Agustus;Negatif;0;
102;Masih Ada Warga Terjebak di Reruntuhan Bangunan Akibat Gempa M 7 NTT;BNPB mengungkap masih ada korban yang terjebak di reruntuhan bangunan akibat gempa bumi M 7 di NTT. Tim gabungan berupaya melakukan pencarian dan pertolongan.;Negatif;0;
103;Dituding Jadi Wanita Berbaju Putih Challenge Miras, Nadhea Klarifikasi;Nadhea Devi membantah tudingan sebagai wanita berbaju putih dalam kasus miras di festival musik. Dia bantah keterlibatan dan minta netizen tidak gegabah.;Negatif;0;
104;NPOPTKP Tidak Muncul saat Pengajuan BPHTB? Ini Penjelasan dan Solusi dari Bapenda DKI;Nilai Perolehan Objek Pajak Tidak Kena Pajak (NPOPTKP) merupakan komponen krusial dalam penghitungan Bea Perolehan Hak atas Tanah dan Bangunan (BPHTB).;Positif;2;
105;Gempa NTT, Hercules dan Kapal Perang Dikerahkan Bantu Korban di Nagekeo;TNI dikerahkan membantu korban gempa NTT. (Puspen TNI);Negatif;0;
106;Padang Panjang Raih IKD Dukcapil Prima Award 2026, Perkuat Transformasi Layanan Digital;Melalui Dinas Kependudukan dan Pencatatan Sipil (Disdukcapil), Padang Panjang berhasil meraih IKD Dukcapil Prima Award 2026 dari Kementerian Dalam Negeri Republik Indonesia.;Positif;2;
107;"Polisi Batang Ungkap ""Kuda"" Peredaran 779 Gram Sabu senilai Rp1,16 Miliar";Dari hasil penangkapan dilakukan, petugas berhasil mengamankan barang bukti yakni 7 paket shabu besar total 756 gram, 2 paket sedang total 13 gram, dan 10 paket kecil total 10 gram.;Negatif;0;
108;Menteri PU Sebut Sungai Barito Masih Bisa Dilalui Kapal;Menteri Pekerjaan Umum (PU) Dody Hanggodo menegaskan, Sungai Barito tidak mengalami kekeringan secara keseluruhan.;Netral;1;
109;Percepat Pemadaman Karhutla, APHI dan Gapki Dorong Protokol Bersama;APHI dan Gapki mendorong penguatan kolaborasi multipihak serta pembentukan protokol bersama untuk mempercepat pemadaman karhutla.;Positif;2;
110;IHSG Berpotensi Tancap Gas Jelang Akhir Pekan Ini;Analis memperkirakan IHSG memiliki dua skenario pergerakan, yakni berpeluang melanjutkan penguatan dan skenario terburuk membuka risiko koreksi.;Netral;1;
111;Dorong Kolaborasi Lintas Perspektif untuk Masa Depan Arsitektur Indonesia;LIXIL Water Technology Indonesia mendorong penguatan kolaborasi lintas disiplin dalam pengembangan arsitektur dan desain di Indonesia melalui penyelenggaraan LDAD 2026.;Positif;2;
112;Peringatan Tsunami Gempa NTT Berakhir, Warga Diminta Tetap Jauhi Pantai;Pelaksana Tugas (Plt) Kepala Pusat Data, Informasi, dan Komunikasi Kebencanaan (Kapusdatinkom) BNPB Berton Suar Pelita Panjaitan saat menyampaikan keterangan pers terkait gempa NTT. (Istimewa);Negatif;0;
113;PNM Peduli Bergerak Penuhi Kebutuhan Warga Terdampak Gempa NTT;Sebanyak 147 paket bantuan dengan total nilai Rp 144 juta disalurkan kepada 1.347 penerima manfaat di delapan titik pengungsian/wilayah terdampak.;Positif;2;
